"ID","Source type","Platform","Date","Title or trace","Relationship","Evidence captured","Confidence","Action","URL"
"S027","Owned method","Threads","2025","Use-first making note","Self-authored","States making begins by imagining how the object will be used","High","Quote/paraphrase in method page","https://www.threads.com/%40hinge_and_rule/post/DO7jOppj_fQ/%EC%96%B4%EB%96%BB%EA%B2%8C-%EC%82%AC%EC%9A%A9%EB%90%A0%EC%A7%80-%EC%83%81%EC%83%81%EC%9D%84-%ED%95%98%EB%A9%B4%EC%84%9C-%EB%A7%8C%EB%93%A0%EB%8B%A4-%EA%B7%B8%EB%A0%87%EC%A7%80-%EA%B7%B8%EB%9E%98%EC%95%BC-%EC%95%9E%EB%92%A4%EA%B0%80-%EB%A7%9E%EC%A7%80-%ED%9E%8C%EC%A7%80%EC%95%A4%EB%A3%B0%EB%94%94%EC%9E%90%EC%9D%B8%EB%82%98%EB%82%98%EB%AF%B8%EC%9B%8D%EC%8A%A4%EC%9D%B4%ED%98%84%EC%88%AD%EC%98%BB%EC%B9%A0%EC%A1%B0%ED%98%95%EC%97%B0%EA%B5%AC%EC%86%8C"
"S028","Owned method","Threads","2025","Traditional/modern composition note","Self-authored","Connects Hinge & Rule, craft collaborator and compositional method","Medium-High","Rights-check exact roles and spellings","https://www.threads.com/%40hinge_and_rule/post/DOekvCWEhv0/%ED%8A%B8%EB%A0%88%EB%94%94%EC%85%94%EB%84%90%EA%B3%BC-%EB%AA%A8%EB%8D%94%EB%8B%88%EC%A6%98%EC%9D%84-%EA%B4%80%ED%86%B5%ED%95%98%EB%8A%94-%EB%B0%B0%EC%B9%98%EC%9D%98-%EB%AF%B8%ED%95%99-%EC%9D%B4%EB%9D%BC%EA%B3%A0-%ED%95%A0%EC%88%98-%EC%9E%88%EA%B2%A0%EB%8B%A4-%ED%9E%8C%EC%A7%80%EC%95%A4%EB%A3%B0%EB%94%94%EC%9E%90%EC%9D%B8%EB%82%98%EB%B9%84%ED%94%8C%EB%9E%99%EC%8A%A4%EC%9D%B4%ED%98%84%EC%8A%B9%EC%98%BB%EC%B9%A0%EC%A1%B0%ED%98%95%EC%97%B0%EA%B5%AC%EC%86%8C"
"S029","Business directory","MoneyPin","Current index","힌지엔룰디자인(hinge and rule)","Registry-derived","Interior design, sign/ad design and advertising categories; regional benchmark claim","Medium","Verify legal spelling and record before reuse","https://moneypin.biz/bizno/detail/7221400223/"
"S030","Business directory","Carmap","Current index","Hinge-and-Rule regional business listing","Registry-derived","Advertising category and Yeongjong/Incheon location","Medium","Use only for identity reconciliation","https://www.carmap.co.kr/"
"S031","Search/discovery","Soomgo","Current","Regional expert category pages","Platform record","5.0 from 3 reviews; ten-year career claim; multiple service categories","Medium-High","Recover review text and original account data","https://soomgo.com/search/pro/%EC%95%84%ED%8A%B8%EC%9B%94-%EC%8B%9C%EA%B3%B5/%EC%9D%B8%EC%B2%9C-%EC%98%81%EC%A2%85%EA%B5%AC/%EC%9D%B8%ED%85%8C%EB%A6%AC%EC%96%B4A--%EB%B2%BD-%EC%B2%9C%EC%9E%A5-%EC%8B%9C%EA%B3%B5A?from=SEO+Top+Pro"
"S032","Owned portfolio","Instagram","2023","Commercial/café/interior tag cluster","Self-authored","Official account index links brand to commercial, café and nail-shop interiors","Medium-High","Map shortcode to named project","https://www.instagram.com/p/Cw42HYHLPUx/"
"S033","Owned portfolio","Instagram","2023","Children's clothing store reflection","Self-authored","Names a children's shop and reflects on loss of sincere commercial furniture","Medium-High","Recover project name and outcome","https://www.instagram.com/p/Cu1UcHtPYRU/"
"S034","Client/community tag","Instagram","2020","Jeonggalseure first anniversary thanks","Third party","Business owner includes Hinge & Rule in first-year support acknowledgements","Medium","Contextual network evidence only","https://www.instagram.com/p/B-9NeWtpNQv/"
"S035","Owned project","Instagram","2025","Busan workshop interior","Self-authored","Describes first finish, return for second finish and photography","Medium-High","Verify collaborator and final media","https://www.instagram.com/p/DHe2_CUSof9/"
"S036","Client media","YouTube","2026","Maison Fantasia channel","Third party","Ongoing public record of the client's space and brand operation","Medium","Use to evidence continued use, not Hinge credit unless stated","https://www.youtube.com/%40%EB%A9%94%EC%A2%85%ED%8C%90%ED%83%80%EC%A7%80%EC%95%84"

